gene_family,aryal_gene,aryal_product,current_product,aryal_module_bin,current_module_bin,aryal_consensus_rank_pct_mean,current_candidate_set,current_best_rank,current_consensus_rank_pct_mean,current_fox_status,layer_fox,layer_proteomics_detected,layer_proteomics_directional,three_layer_model_fox_proteomics_directional,hgt_passenger_flag,frac_assemblies_proximal,fisher_p_vs_background,exact_product_match
GF_00221,folE,GTP cyclohydrolase I FolE,DNA double-strand break repair nuclease NurA,Other / unassigned,Other / unassigned,0.3018859437496705,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0635,0.64118,False
GF_00993,,methionine gamma-lyase family protein,MarR family winged helix-turn-helix transcriptional regulator,Other / unassigned,Regulation,0.3017851950400796,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0625,0.62707,False
GF_00218,,phosphoglycerate kinase,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.37376083699573,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0621,0.59096,False
GF_00224,aroC,chorismate synthase,cytochrome c biogenesis protein,Other / unassigned,Respiration & bioenergetics,0.7462746291813473,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.062,0.64448,False
GF_00451,ahcY,adenosylhomocysteinase,orotidine-5'-phosphate decarboxylase,Other / unassigned,Other / unassigned,0.6166161309627999,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0616,0.68188,False
GF_01663,ilvB,biosynthetic-type acetolactate synthase large subunit,ParA family protein,Other / unassigned,Other / unassigned,0.6663562954620734,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0612,0.66124,False
GF_01016,,hypothetical protein,carboxymuconolactone decarboxylase family protein,Stress / membrane / uncharacterized,Other / unassigned,0.3924320913976324,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.06,0.66113,False
GF_01810,,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N,glycosyltransferase family 2 protein,O2 protection & redox homeostasis,Other / unassigned,0.5449522036335332,Model-Supported,213.0,0.3444976076555024,Novel/uncertain candidate,False,False,False,False,False,0.06,0.66113,False
GF_00946,,response regulator,methyltransferase domain-containing protein,Regulation,Other / unassigned,0.4533686950195105,Model-Supported,318.0,0.326555023923445,Novel/uncertain candidate,False,False,False,False,False,0.0597,0.69126,False
GF_00036,,threonine synthase,translation initiation factor IF-3,Other / unassigned,Other / unassigned,0.4051142835836499,Model-Supported,89.0,0.4362041467304625,Novel/uncertain candidate,False,False,False,False,False,0.0588,0.69117,False
GF_00079,,TRC40/GET3/ArsA family transport-energizing ATPase,ATP-dependent Clp protease proteolytic subunit,Transport,Other / unassigned,0.2510867595183579,Model-Supported,118.0,0.7196969696969697,Novel/uncertain candidate,False,True,True,False,False,0.0584,0.69686,False
GF_00935,,sodium-dependent bicarbonate transport family permease,ribonuclease J,Transport,Other / unassigned,0.5101982774128901,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0581,0.73211,False
GF_01817,minD,septum site-determining protein MinD,chaperonin GroEL,Other / unassigned,Other / unassigned,0.4846603013405332,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0577,0.6084,False
GF_01656,moaC,cyclic pyranopterin monophosphate synthase MoaC,cytochrome c,Other / unassigned,Respiration & bioenergetics,0.539487101503109,Highly Pure,,,FOX-consistent support function (plausible rediscovery),True,False,False,False,False,0.0577,0.66094,False
GF_00693,,B12-binding domain-containing radical SAM protein,anti-sigma regulatory factor,Other / unassigned,Regulation,0.4639343408694678,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0571,0.71571,False
GF_00331,psbC,photosystem II reaction center protein CP43,aminodeoxychorismate/anthranilate synthase component II,Housekeeping / lineage marker,Other / unassigned,0.6059044156959424,Model-Supported,119.0,0.511164274322169,Novel/uncertain candidate,False,False,False,False,False,0.0567,0.73596,False
GF_00855,prfC,peptide chain release factor 3,COX15/CtaA family protein,Other / unassigned,Other / unassigned,0.4443988852979957,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0561,0.73589,False
GF_00866,gltD,glutamate synthase small subunit,adenosylhomocysteinase,Other / unassigned,Other / unassigned,0.7477031700329946,Model-Supported,36.0,0.6674641148325359,Novel/uncertain candidate,False,False,False,False,False,0.0548,0.7531,False
GF_00136,,hypothetical protein,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,Stress / membrane / uncharacterized,O2 protection & redox homeostasis,0.592490937849467,Model-Supported,469.0,0.1770334928229665,FOX-consistent support function (plausible rediscovery),True,True,False,False,False,0.0543,0.70192,False
GF_02118,,AAA family ATPase,ABC transporter permease,Other / unassigned,Transport,0.3888398389340369,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0541,0.76669,False
GF_01604,queF,preQ(1) synthase,fatty acid hydroxylase,Other / unassigned,Other / unassigned,0.5980665338346816,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0538,0.70188,False
GF_01657,cysK,cysteine synthase A,tRNA guanosine(34) transglycosylase Tgt,Other / unassigned,Other / unassigned,0.7830911564627547,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0533,0.75492,False
