gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00200,58,58,57,1,16,0.9827586206896551
GF_00201,69,69,66,3,20,0.9565217391304348
GF_00202,55,55,54,1,14,0.9818181818181818
GF_00203,40,40,39,1,14,0.975
GF_00204,51,51,51,0,13,1.0
GF_00205,63,63,59,4,18,0.9365079365079365
GF_00206,58,58,57,1,14,0.9827586206896551
GF_00207,47,47,46,1,10,0.9787234042553191
GF_00208,55,55,49,6,15,0.8909090909090909
GF_00209,47,47,47,0,12,1.0
GF_00210,44,44,44,0,10,1.0
GF_00211,40,40,40,0,9,1.0
GF_00212,41,41,41,0,8,1.0
GF_00213,53,53,52,1,13,0.9811320754716981
GF_00214,66,66,63,3,19,0.9545454545454546
GF_00215,49,49,49,0,13,1.0
GF_00216,43,43,43,0,10,1.0
GF_00217,58,58,57,1,15,0.9827586206896551
GF_00218,54,54,53,1,14,0.9814814814814815
GF_00219,59,59,56,3,15,0.9491525423728814
GF_00220,52,52,28,24,19,0.5384615384615384
GF_00221,43,43,42,1,13,0.9767441860465116
GF_00222,42,42,42,0,10,1.0
GF_00223,51,51,51,0,12,1.0
GF_00224,42,42,42,0,9,1.0
GF_00225,71,71,68,3,20,0.9577464788732394
GF_00226,40,40,40,0,8,1.0
GF_00227,48,48,48,0,12,1.0
GF_00228,60,60,10,50,11,0.16666666666666666
GF_00229,66,66,32,34,21,0.48484848484848486
GF_00230,70,70,68,2,19,0.9714285714285714
GF_00231,68,68,67,1,17,0.9852941176470589
GF_00232,44,44,44,0,10,1.0
GF_00233,43,43,43,0,10,1.0
GF_00234,61,61,60,1,15,0.9836065573770492
GF_00235,94,78,84,10,27,0.8936170212765957
GF_00236,43,43,43,0,11,1.0
GF_00237,41,41,41,0,9,1.0
GF_00238,71,71,68,3,20,0.9577464788732394
GF_00239,58,58,57,1,15,0.9827586206896551
GF_00240,75,75,72,3,24,0.96
GF_00241,42,42,42,0,10,1.0
GF_00242,57,57,56,1,15,0.9824561403508771
GF_00243,49,49,48,1,10,0.9795918367346939
GF_00244,51,48,19,32,14,0.37254901960784315
GF_00245,72,72,69,3,20,0.9583333333333334
GF_00246,66,66,65,1,17,0.9848484848484849
GF_00247,53,53,53,0,14,1.0
GF_00248,76,76,72,4,25,0.9473684210526315
GF_00249,58,58,56,2,15,0.9655172413793104
GF_00250,64,64,57,7,21,0.890625
GF_00251,124,124,83,41,37,0.6693548387096774
GF_00252,43,43,43,0,10,1.0
GF_00253,61,61,60,1,16,0.9836065573770492
GF_00254,43,43,43,0,10,1.0
GF_00255,40,40,39,1,8,0.975
GF_00256,50,50,49,1,11,0.98
GF_00257,48,48,48,0,12,1.0
GF_00258,68,68,67,1,17,0.9852941176470589
GF_00259,46,46,46,0,11,1.0
GF_00260,68,68,67,1,17,0.9852941176470589
GF_00261,53,53,52,1,15,0.9811320754716981
GF_00262,88,87,59,29,29,0.6704545454545454
GF_00263,57,57,57,0,16,1.0
GF_00264,58,58,57,1,15,0.9827586206896551
GF_00265,41,41,41,0,10,1.0
GF_00266,57,57,56,1,13,0.9824561403508771
GF_00267,69,69,64,5,21,0.927536231884058
GF_00268,46,46,46,0,12,1.0
GF_00269,41,41,41,0,9,1.0
GF_00270,51,51,51,0,12,1.0
GF_00271,45,45,45,0,9,1.0
GF_00272,50,50,49,1,12,0.98
GF_00273,41,41,41,0,8,1.0
GF_00274,41,41,41,0,8,1.0
GF_00275,48,48,44,4,15,0.9166666666666666
GF_00276,61,61,60,1,17,0.9836065573770492
GF_00277,53,53,52,1,14,0.9811320754716981
GF_00278,48,48,48,0,12,1.0
GF_00279,60,60,58,2,16,0.9666666666666667
GF_00280,51,51,49,2,16,0.9607843137254902
GF_00281,527,267,213,314,70,0.40417457305502846
GF_00282,48,48,45,3,12,0.9375
GF_00283,42,42,41,1,15,0.9761904761904762
GF_00284,47,47,47,0,10,1.0
GF_00285,47,47,47,0,12,1.0
GF_00286,55,55,55,0,15,1.0
GF_00287,55,55,54,1,14,0.9818181818181818
GF_00288,55,55,55,0,15,1.0
GF_00289,62,62,61,1,16,0.9838709677419355
GF_00290,272,271,111,161,70,0.40808823529411764
GF_00291,70,70,69,1,18,0.9857142857142858
GF_00292,59,59,58,1,15,0.9830508474576272
GF_00293,52,52,51,1,13,0.9807692307692307
GF_00294,71,71,68,3,20,0.9577464788732394
GF_00295,58,58,58,0,15,1.0
GF_00296,102,102,53,49,39,0.5196078431372549
GF_00297,63,63,62,1,16,0.9841269841269841
GF_00298,63,63,62,1,17,0.9841269841269841
GF_00299,65,65,64,1,17,0.9846153846153847
GF_00300,103,103,81,22,40,0.7864077669902912
GF_00301,72,72,69,3,20,0.9583333333333334
GF_00302,63,63,48,15,28,0.7619047619047619
GF_00303,74,74,55,19,26,0.7432432432432432
GF_00304,55,55,54,1,14,0.9818181818181818
GF_00305,82,82,71,11,26,0.8658536585365854
GF_00306,54,54,54,0,14,1.0
GF_00307,62,62,59,3,18,0.9516129032258065
GF_00308,49,49,0,49,4,0.0
GF_00309,318,313,110,208,69,0.34591194968553457
GF_00310,40,40,4,36,8,0.1
GF_00311,89,88,47,42,27,0.5280898876404494
GF_00312,64,64,16,48,17,0.25
GF_00313,129,129,77,52,34,0.5968992248062015
GF_00314,129,129,78,51,37,0.6046511627906976
GF_00315,54,53,14,40,17,0.25925925925925924
GF_00316,150,150,90,60,48,0.6
GF_00317,46,46,12,34,21,0.2608695652173913
GF_00318,48,48,14,34,14,0.2916666666666667
GF_00319,58,58,11,47,10,0.1896551724137931
GF_00320,53,53,18,35,19,0.33962264150943394
GF_00321,79,79,14,65,16,0.17721518987341772
GF_00322,57,57,5,52,9,0.08771929824561403
GF_00323,161,161,83,78,45,0.515527950310559
GF_00324,69,69,58,11,29,0.8405797101449275
GF_00325,72,72,14,58,16,0.19444444444444445
GF_00326,263,263,106,157,71,0.40304182509505704
GF_00327,291,291,64,227,40,0.21993127147766323
GF_00328,63,63,2,61,8,0.031746031746031744
GF_00329,62,62,9,53,18,0.14516129032258066
GF_00330,169,167,96,73,45,0.5680473372781065
GF_00331,103,103,80,23,31,0.7766990291262136
GF_00332,45,42,27,18,15,0.6
GF_00333,56,56,13,43,20,0.23214285714285715
GF_00334,55,55,54,1,16,0.9818181818181818
GF_00335,193,186,98,95,57,0.5077720207253886
GF_00336,106,106,49,57,27,0.46226415094339623
GF_00337,55,55,3,52,8,0.05454545454545454
GF_00338,58,58,50,8,18,0.8620689655172413
GF_00339,60,60,53,7,24,0.8833333333333333
