gene_family,importance
GF_01338,0.0007093036
GF_00229,0.00070799736
GF_00351,0.0007039436
GF_01393,0.00070310745
GF_01385,0.000702063
GF_00395,0.00070188846
GF_00434,0.00070028834
GF_01674,0.0006943302
GF_00867,0.00069315394
GF_02132,0.00068826997
GF_00669,0.0006881945
GF_01673,0.0006871988
GF_01538,0.0006785871
GF_00958,0.00067848683
GF_01897,0.0006561444
GF_00682,0.00064639654
GF_01648,0.00064279686
GF_01807,0.0006324918
GF_01616,0.0006254747
GF_00396,0.00062313466
GF_00702,0.0006206761
GF_01372,0.0006197066
GF_00684,0.0006135748
GF_01374,0.0006118128
GF_00401,0.00060997164
GF_00864,0.00060992694
GF_00112,0.0005976213
GF_00332,0.00059482874
GF_00699,0.00058901624
GF_00615,0.00056967756
GF_00303,0.0005630303
GF_00342,0.0005622067
GF_00409,0.0005578721
GF_01534,0.0005555203
GF_00969,0.0005532998
GF_02041,0.00054645236
GF_02070,0.0005422462
GF_01692,0.0005396497
GF_00052,0.00053162465
GF_01928,0.0005307748
GF_00341,0.0005275911
GF_00966,0.0005171733
GF_02220,0.00050557463
GF_01446,0.0005038732
GF_01314,0.0004885766
GF_00108,0.00048027892
GF_00637,0.0004614056
GF_02184,0.00045699198
GF_01266,0.00045564063
GF_00726,0.00044530877
GF_00482,0.0004437222
GF_00594,0.00044356324
GF_00141,0.00044230543
GF_00435,0.0004353038
GF_00632,0.00043469836
GF_01461,0.000428095
GF_01237,0.0004258168
GF_01401,0.00041352055
GF_00349,0.00041246228
GF_01925,0.00041040368
GF_01805,0.00040460503
GF_00816,0.00040451577
GF_00426,0.000400799
GF_00106,0.00039926608
GF_00155,0.00039860807
GF_01396,0.00039721467
GF_00180,0.00037539672
GF_01629,0.0003709093
GF_00636,0.00036770862
GF_01330,0.0003664928
GF_00814,0.00035814272
GF_00321,0.00035710883
GF_01902,0.0003548789
GF_00418,0.00035459438
GF_01856,0.00035142867
GF_01737,0.00034924422
GF_01661,0.0003461127
GF_00347,0.00034394822
GF_02157,0.0003421328
GF_00751,0.0003395151
GF_00588,0.00033044087
GF_01292,0.00032068175
GF_00114,0.00031929885
GF_01677,0.0003001627
GF_01680,0.00029791764
GF_01445,0.00029652158
GF_01460,0.00029404898
GF_01810,0.00029267644
GF_00612,0.0002922833
GF_00916,0.00028998737
GF_01540,0.0002895829
GF_00305,0.0002861133
GF_00390,0.0002799427
GF_01802,0.00027957855
GF_00777,0.00027689934
GF_00312,0.0002690078
GF_01553,0.00026633026
GF_01809,0.00026557158
GF_00723,0.0002641526
GF_01620,0.0002628384
GF_00606,0.00026259702
GF_02178,0.00026238497
GF_00393,0.00026204504
GF_00123,0.00024803897
GF_00178,0.0002473195
GF_01394,0.00024238504
GF_01583,0.00024107992
GF_01026,0.0002379549
GF_01735,0.00023690615
GF_02122,0.00023404529
GF_00813,0.0002317829
GF_00440,0.00022876487
GF_02230,0.00022837073
GF_00350,0.00022195368
GF_00527,0.00022163829
GF_01028,0.0002215957
GF_00873,0.00021855925
GF_00046,0.0002136629
GF_01404,0.00021178166
GF_01458,0.00021092563
GF_01690,0.00019176483
GF_00051,0.00018504586
GF_01448,0.00018252524
GF_01233,0.00018065989
GF_01840,0.00017676826
GF_01235,0.00017278949
GF_00002,0.00017199937
GF_01329,0.00017138413
GF_00431,0.00017043945
GF_01822,0.00016804898
GF_00811,0.0001608851
GF_00318,0.00015806686
GF_00729,0.00015619575
GF_00695,0.00015564816
GF_01630,0.00015153005
GF_02137,0.00015029739
GF_00531,0.00014880246
GF_01428,0.00014470812
GF_00522,0.00014236443
GF_02229,0.00014104924
GF_01306,0.00013520553
GF_01745,0.00013375175
GF_00785,0.0001334187
GF_00093,0.00013261221
GF_00358,0.00013078698
GF_01801,0.00012906075
GF_01678,0.00012870281
GF_01537,0.00012632874
GF_01005,0.0001243032
GF_00410,0.00012093197
GF_01487,0.00012037971
GF_00895,0.00011650913
GF_00688,0.00011402279
GF_00566,0.00010434197
GF_01683,0.0001033232
GF_02094,0.000103162405
GF_00430,9.798871e-05
GF_00933,9.4965064e-05
GF_01813,8.979118e-05
GF_00015,8.692959e-05
GF_00404,8.237241e-05
GF_00362,8.206612e-05
GF_02225,8.163949e-05
GF_02092,8.039105e-05
GF_01627,7.269897e-05
GF_00441,7.221939e-05
GF_00049,6.8572015e-05
GF_00480,6.7578985e-05
GF_01287,6.728671e-05
GF_00413,6.3694606e-05
GF_00438,5.9347272e-05
GF_01679,5.7565754e-05
GF_00741,5.5231554e-05
GF_01377,5.4607004e-05
GF_02266,5.2890005e-05
GF_00624,5.2768002e-05
GF_00868,5.2099254e-05
GF_01333,5.17508e-05
GF_00843,4.7918427e-05
GF_01387,4.6579557e-05
GF_01334,4.4846613e-05
GF_01375,4.0897496e-05
GF_02091,3.775308e-05
GF_01641,3.7640155e-05
GF_01247,3.6075806e-05
GF_00609,3.0117293e-05
GF_00869,3.0114295e-05
GF_00732,2.9952953e-05
GF_00353,2.8583974e-05
GF_00333,2.3200835e-05
GF_01236,1.33958165e-05
GF_01812,1.0538163e-05
GF_00457,6.30426e-06
GF_00960,3.5437818e-06
GF_02194,0.0
GF_02159,0.0
GF_02138,0.0
GF_01926,0.0
GF_01923,0.0
GF_00220,0.0
GF_00208,0.0
GF_00143,0.0
GF_00142,0.0
GF_02223,0.0
GF_02219,0.0
GF_00619,0.0
GF_01945,0.0
GF_02074,0.0
GF_02060,0.0
GF_02084,0.0
GF_02085,0.0
GF_00616,0.0
GF_02076,0.0
GF_01814,0.0
GF_01823,0.0
GF_01837,0.0
GF_01842,0.0
GF_01844,0.0
GF_01866,0.0
GF_01870,0.0
GF_01872,0.0
GF_01885,0.0
GF_00620,0.0
GF_00633,0.0
GF_00621,0.0
GF_00635,0.0
GF_00638,0.0
GF_00640,0.0
GF_00641,0.0
GF_00110,0.0
GF_00109,0.0
GF_01919,0.0
GF_01901,0.0
GF_01900,0.0
GF_01899,0.0
GF_01898,0.0
GF_01290,0.0
GF_01297,0.0
GF_01293,0.0
GF_01291,0.0
GF_01315,0.0
GF_01336,0.0
GF_01359,0.0
GF_00116,0.0
GF_00111,0.0
GF_00428,0.0
GF_00427,0.0
GF_00458,0.0
GF_00433,0.0
GF_00489,0.0
GF_00525,0.0
