gene_family,total_genomes,diazotroph_count,diazotroph_pct,is_pure
GF_00135,149,0,0.0,True
GF_00136,238,101,0.42436974789915966,False
GF_00137,73,13,0.1780821917808219,False
GF_00138,68,12,0.17647058823529413,False
GF_00139,62,9,0.14516129032258066,False
GF_00140,46,46,1.0,True
GF_00141,51,14,0.27450980392156865,False
GF_00142,46,6,0.13043478260869565,False
GF_00143,263,109,0.4144486692015209,False
GF_00144,81,0,0.0,True
GF_00145,153,0,0.0,True
GF_00146,77,0,0.0,True
GF_00147,107,0,0.0,True
GF_00148,45,0,0.0,True
GF_00149,43,0,0.0,True
GF_00150,151,0,0.0,True
GF_00151,101,0,0.0,True
GF_00152,81,0,0.0,True
GF_00153,51,0,0.0,True
GF_00154,72,0,0.0,True
GF_00155,92,60,0.6521739130434783,False
GF_00156,44,43,0.9772727272727273,True
GF_00157,57,56,0.9824561403508771,True
GF_00158,42,41,0.9761904761904762,True
GF_00159,57,57,1.0,True
GF_00160,54,53,0.9814814814814815,True
GF_00161,51,50,0.9803921568627451,True
GF_00162,61,60,0.9836065573770492,True
GF_00163,56,55,0.9821428571428571,True
GF_00164,188,106,0.5638297872340425,False
GF_00165,45,45,1.0,True
GF_00166,52,52,1.0,True
GF_00167,44,43,0.9772727272727273,True
GF_00168,76,76,1.0,True
GF_00169,63,62,0.9841269841269841,True
GF_00170,47,38,0.8085106382978723,False
GF_00171,40,40,1.0,True
GF_00172,51,51,1.0,True
GF_00173,55,54,0.9818181818181818,True
GF_00174,56,55,0.9821428571428571,True
GF_00175,46,30,0.6521739130434783,False
GF_00176,42,41,0.9761904761904762,True
GF_00177,41,40,0.975609756097561,True
GF_00178,368,108,0.29347826086956524,False
GF_00179,57,12,0.21052631578947367,False
GF_00180,75,16,0.21333333333333335,False
GF_00181,46,3,0.06521739130434782,True
GF_00182,67,66,0.9850746268656716,True
GF_00183,57,56,0.9824561403508771,True
GF_00184,57,56,0.9824561403508771,True
GF_00185,75,62,0.8266666666666667,False
GF_00186,65,63,0.9692307692307692,True
GF_00187,63,0,0.0,True
GF_00188,67,0,0.0,True
GF_00189,73,0,0.0,True
GF_00190,103,0,0.0,True
GF_00191,126,0,0.0,True
GF_00192,99,0,0.0,True
GF_00193,153,0,0.0,True
GF_00194,151,0,0.0,True
GF_00195,95,0,0.0,True
GF_00196,52,0,0.0,True
GF_00197,153,0,0.0,True
GF_00198,100,0,0.0,True
GF_00199,107,0,0.0,True
GF_00200,58,57,0.9827586206896551,True
GF_00201,69,66,0.9565217391304348,True
GF_00202,55,54,0.9818181818181818,True
GF_00203,40,39,0.975,True
GF_00204,51,51,1.0,True
GF_00205,63,59,0.9365079365079365,True
GF_00206,58,57,0.9827586206896551,True
GF_00207,47,46,0.9787234042553191,True
GF_00208,55,49,0.8909090909090909,False
GF_00209,47,47,1.0,True
GF_00210,44,44,1.0,True
GF_00211,40,40,1.0,True
GF_00212,41,41,1.0,True
GF_00213,53,52,0.9811320754716981,True
GF_00214,66,63,0.9545454545454546,True
GF_00215,49,49,1.0,True
GF_00216,43,43,1.0,True
GF_00217,58,57,0.9827586206896551,True
GF_00218,54,53,0.9814814814814815,True
GF_00219,59,56,0.9491525423728814,True
GF_00220,52,28,0.5384615384615384,False
GF_00221,43,42,0.9767441860465116,True
GF_00222,42,42,1.0,True
GF_00223,51,51,1.0,True
GF_00224,42,42,1.0,True
GF_00225,71,68,0.9577464788732394,True
GF_00226,40,40,1.0,True
GF_00227,48,48,1.0,True
GF_00228,60,10,0.16666666666666666,False
GF_00229,66,32,0.48484848484848486,False
GF_00230,70,68,0.9714285714285714,True
GF_00231,68,67,0.9852941176470589,True
GF_00232,44,44,1.0,True
GF_00233,43,43,1.0,True
GF_00234,61,60,0.9836065573770492,True
GF_00235,78,68,0.8717948717948718,False
GF_00236,43,43,1.0,True
GF_00237,41,41,1.0,True
GF_00238,71,68,0.9577464788732394,True
GF_00239,58,57,0.9827586206896551,True
GF_00240,75,72,0.96,True
GF_00241,42,42,1.0,True
GF_00242,57,56,0.9824561403508771,True
GF_00243,49,48,0.9795918367346939,True
GF_00244,48,16,0.3333333333333333,False
GF_00245,72,69,0.9583333333333334,True
GF_00246,66,65,0.9848484848484849,True
GF_00247,53,53,1.0,True
GF_00248,76,72,0.9473684210526315,True
GF_00249,58,56,0.9655172413793104,True
GF_00250,64,57,0.890625,False
GF_00251,124,83,0.6693548387096774,False
GF_00252,43,43,1.0,True
GF_00253,61,60,0.9836065573770492,True
GF_00254,43,43,1.0,True
GF_00255,40,39,0.975,True
GF_00256,50,49,0.98,True
GF_00257,48,48,1.0,True
GF_00258,68,67,0.9852941176470589,True
GF_00259,46,46,1.0,True
GF_00260,68,67,0.9852941176470589,True
GF_00261,53,52,0.9811320754716981,True
GF_00262,87,58,0.6666666666666666,False
GF_00263,57,57,1.0,True
GF_00264,58,57,0.9827586206896551,True
GF_00265,41,41,1.0,True
GF_00266,57,56,0.9824561403508771,True
GF_00267,69,64,0.927536231884058,True
GF_00268,46,46,1.0,True
GF_00269,41,41,1.0,True
GF_00270,51,51,1.0,True
GF_00271,45,45,1.0,True
GF_00272,50,49,0.98,True
GF_00273,41,41,1.0,True
GF_00274,41,41,1.0,True
GF_00275,48,44,0.9166666666666666,True
GF_00276,61,60,0.9836065573770492,True
GF_00277,53,52,0.9811320754716981,True
GF_00278,48,48,1.0,True
GF_00279,60,58,0.9666666666666667,True
GF_00280,51,49,0.9607843137254902,True
GF_00281,267,106,0.3970037453183521,False
GF_00282,48,45,0.9375,True
GF_00283,42,41,0.9761904761904762,True
GF_00284,47,47,1.0,True
GF_00285,47,47,1.0,True
GF_00286,55,55,1.0,True
GF_00287,55,54,0.9818181818181818,True
GF_00288,55,55,1.0,True
GF_00289,62,61,0.9838709677419355,True
GF_00290,271,111,0.4095940959409594,False
GF_00291,70,69,0.9857142857142858,True
GF_00292,59,58,0.9830508474576272,True
GF_00293,52,51,0.9807692307692307,True
GF_00294,71,68,0.9577464788732394,True
GF_00295,58,58,1.0,True
GF_00296,102,53,0.5196078431372549,False
GF_00297,63,62,0.9841269841269841,True
GF_00298,63,62,0.9841269841269841,True
GF_00299,65,64,0.9846153846153847,True
GF_00300,103,81,0.7864077669902912,False
GF_00301,72,69,0.9583333333333334,True
GF_00302,63,48,0.7619047619047619,False
GF_00303,74,55,0.7432432432432432,False
GF_00304,55,54,0.9818181818181818,True
GF_00305,82,71,0.8658536585365854,False
GF_00306,54,54,1.0,True
GF_00307,62,59,0.9516129032258065,True
GF_00308,49,0,0.0,True
GF_00309,313,108,0.3450479233226837,False
GF_00310,40,4,0.1,False
GF_00311,88,47,0.5340909090909091,False
GF_00312,64,16,0.25,False
GF_00313,129,77,0.5968992248062015,False
GF_00314,129,78,0.6046511627906976,False
GF_00315,53,14,0.2641509433962264,False
GF_00316,150,90,0.6,False
GF_00317,46,12,0.2608695652173913,False
GF_00318,48,14,0.2916666666666667,False
GF_00319,58,11,0.1896551724137931,False
GF_00320,53,18,0.33962264150943394,False
GF_00321,79,14,0.17721518987341772,False
GF_00322,57,5,0.08771929824561403,True
GF_00323,161,83,0.515527950310559,False
